,School Code,Enrollment Percent_Low-Income,Enrollment Percent_SoC,SBA ELA 3Y Average Percent_Low-Income,SBA ELA 3Y Average Percent_SoC,SBA Math 3Y Average Percent_Low-Income,SBA Math 3Y Average Percent_SoC,Component 1,Component 2,Component 3,Segment KMeans PCA,Segment,SchoolCode,School Name,LEANameForCharterComparison,Lat,Lon
1665,5016,0.7745803357314148,0.8657074340527577,0.33475708512117,0.394544580653234,0.198927603339961,0.24914509780489003,-0.14892559099771252,0.5412065256249725,0.02411643432318235,1,second,5016,Mill Creek Middle School,Kent School District,47.3861206595594,-122.230879531842
1666,5018,0.4034090909090909,0.2585227272727273,0.41409693861963703,0.485714258855704,0.37444936019458397,0.31111110051473,0.02053829724550773,-0.1725343681791455,-0.027997968103726286,0,first,5018,Lackamas Elementary,Yelm School District,46.90957,-122.57158
1667,5020,0.9298013245033112,0.9668874172185431,0.18894390068431896,0.22009569377990398,0.19636964325857603,0.22266560797702697,-0.3420201511728793,0.7147795934379866,0.043473995604564004,1,second,5020,Virgie Robinson Elementary,Pasco School District,46.2332674451778,-119.075691786848
1668,5027,0.6483050847457628,0.6652542372881356,0.6301369863013699,0.620488936348044,0.430045886610045,0.4150058468171471,0.21399727442462554,0.27240463199739445,-0.2367476628988476,0,first,5027,Harrison Prep School,Clover Park School District,47.1747159469714,-122.507577762006
1669,5028,0.5674157303370787,0.5842696629213483,0.544776118128304,0.476190464837211,0.219696976921775,0.217391303671781,-0.046976974761953595,0.17003782858412186,-0.050932186756488064,0,first,5028,Big Picture School,Highline School District,47.4366571325916,-122.328797186381
1670,5029,0.75,0.7311643835616438,0.35241935847080896,0.393442632792554,0.209208411966017,0.23707957374429897,-0.16539492570016404,0.4125746834385626,-0.007671879436977319,1,second,5029,Sequoyah Middle School,Federal Way School District,47.2787570296725,-122.288620500074
1671,5030,0.5,0.0,0.276315782539072,0.0,0.10169491854182501,0.0,-0.6408406850442739,-0.34678975952749735,0.07659028508347097,3,fourth,5030,HomeConnection,Crescent School District,48.13568,-123.73218
1672,5032,0.0,0.9908256880733946,0.0,0.0608695651633077,0.0,0.0508474592709124,-0.3223777713849744,0.2676787151140129,0.8174590272673629,4,fifth,5032,Taholah Elementary & Middle School,Taholah School District,47.34723,-124.29549
1673,5033,0.3871822033898305,0.4094279661016949,0.5774378607678929,0.624129890596611,0.274131258691876,0.33986928104575204,0.17022460222281616,-0.061233413832745776,-0.03146028548795407,0,first,5033,Graham Kapowsin High School,Bethel School District,47.0564128674084,-122.28797
1674,5035,0.391304347826087,0.0,0.0,0.0,0.0,0.0,-0.6834438203996851,-0.35497720542354677,0.3536786270502188,3,fourth,5035,HomeWorks,Cheney School District,47.4894311902529,-117.577422590856
1675,5037,0.4735872235872236,0.5251842751842751,0.5966735997403779,0.6446280991735539,0.256728770569985,0.336633641209606,0.17295537870794722,0.07988653916874851,-0.05950332148290218,0,first,5037,Auburn Mountainview High School,Auburn School District,47.3424424154015,-122.175968455762
1676,5040,0.3979328165374677,0.3733850129198966,0.348379638459947,0.369310768660774,0.25895951961594,0.289610410996887,-0.08474531785688112,-0.07105719348279782,0.09899825521807416,0,first,5040,Park Place Middle School,Monroe School District,47.8506494765518,-121.989203262185
1677,5047,0.1095890410958904,0.2009132420091324,0.451612901737241,0.525000012516976,0.183673462238177,0.40000002145767294,0.15297938666651767,-0.3579763344934177,0.2064971651008422,0,first,5047,Meridian Parent Partnership Program,Meridian School District,48.8626415594804,-122.439183279694
1678,5049,0.8657718120805369,0.938255033557047,0.39353399372419795,0.400533325195312,0.34615384615384603,0.36334574457344004,-0.05115999094594621,0.6362261303642477,-0.12105190012503375,1,second,5049,Sierra Vista Middle School,Sunnyside School District,46.3333213429875,-119.99895139005
1679,5051,0.22727272727272727,0.5553977272727273,0.5496183046058971,0.733205367450227,0.5725190672978101,0.739583349227905,0.6139858149211673,-0.012461400791120517,-0.034524416494809904,2,third,5051,Lakeland Hills Elementary,Auburn School District,47.2548378084744,-122.215950063664
1680,5052,0.4218241042345277,0.31433224755700323,0.45359280401006496,0.583529372862715,0.33834585689812297,0.39999999461454494,0.14112676952908798,-0.10771586108527006,-0.0329971431601186,0,first,5052,Ridgeline Middle School,Yelm School District,46.90957,-122.57158
1681,5053,0.021244309559939303,0.701062215477997,0.0,0.9416342395124692,0.0,0.9500000572204609,0.7339478984571375,0.1524220913792163,0.7233787424037663,2,third,5053,Rosa Parks Elementary,Lake Washington School District,47.6856070485058,-122.035341909452
1682,5054,0.19733333333333333,0.26266666666666666,0.5835189281193821,0.6990950467586959,0.49002217261142,0.595022627714774,0.4559704461581646,-0.2802602368277054,-0.06286170791914333,2,third,5054,Liberty Middle School,Camas School District,45.5912367716054,-122.403074032639
1683,5056,0.06417112299465241,0.5574866310160428,0.406976764301406,0.797163098923703,0.35294116855080204,0.850282507427668,0.7000158062829751,-0.047606198647102846,0.2545031640761612,2,third,5056,Grand Ridge Elementary,Issaquah School District,47.5472830226236,-122.003510336429
1684,5057,0.0,0.39361702127659576,0.0,0.8600000137329109,0.0,0.846153833456999,0.5746647770505867,-0.12529211628475756,0.6662161448567486,2,third,5057,Renaissance School,Lake Washington School District,47.5722145190793,-122.035516900762
1685,5066,0.7490706319702602,0.8011152416356877,0.43127962085308097,0.48148149432558,0.487381715200086,0.517647059276089,0.14655710326981877,0.45929762359960186,-0.17582913519438187,1,second,5066,Helen B. Stafford Elementary,Tacoma School District,47.1739311522545,-122.455566431704
1686,5071,0.5241317095173658,0.36896707262065853,0.47873500474486796,0.46003015440513595,0.0897009966777409,0.0632688910977036,-0.2123735047779339,-0.021341125779969126,0.028335728207867592,0,first,5071,Insight School of Washington,Quillayute Valley School District,47.9466469606675,-124.384058942923
1687,5075,0.6214285714285714,0.0,0.620253173725438,0.0,0.5822784548825021,0.0,-0.5090815490396734,-0.37095129937104077,-0.43441788572666573,3,fourth,5075,Selkirk Elementary,Selkirk School District,48.86144,-117.3715
1688,5078,0.30995475113122173,0.0,0.0,0.0,0.0,0.0,-0.6570219941411973,-0.3977639160943863,0.40254620782235484,3,fourth,5078,Olympia Regional Learning Academy,Olympia School District,47.0363371200721,-122.868272718827
1689,5082,0.5079872204472844,0.5862619808306709,0.497787593814965,0.593673984499743,0.466960351312456,0.539951572373819,0.2847917973850835,0.1552799142013242,-0.1113234658262587,0,first,5082,Arthur Jacobsen Elementary,Auburn School District,47.3400733333333,-122.16574236627
1690,5085,0.33052039381153303,0.33052039381153303,0.597765371700577,0.6785714687133341,0.252808994181965,0.3384615557292511,0.20972006038496735,-0.1540629461560468,-0.01788717679217773,0,first,5085,Kingston High School,North Kitsap School District,47.7986908519958,-122.518011772224
1691,5088,0.37486687965921195,0.4909478168264111,0.49140894781682903,0.56873318589888,0.35273970374696,0.44086022530832597,0.21131255888874026,0.008519591831434586,0.007081083505408382,0,first,5088,Carson Elementary,Puyallup School District,47.089279785362,-122.314163292143
1692,5089,0.44835164835164837,0.24395604395604395,0.394366194345345,0.44782608522584605,0.28042328042328,0.311688311688312,-0.04444716070809237,-0.15349195357368428,5.3158648242888406e-05,0,first,5089,Daybreak Middle,Battle Ground School District,45.78651,-122.53271
1693,5090,0.43795620437956206,0.18613138686131386,0.38989168601213897,0.3666666746139529,0.35740071217779396,0.333333325386047,-0.07504436009838121,-0.21661917625456745,-0.041279515274545896,0,first,5090,Daybreak Primary,Battle Ground School District,45.78651,-122.53271
1694,5091,0.08722358722358722,0.5245700245700246,0.5888888676961259,0.824411075292711,0.57777779897054,0.797008563310672,0.7571491192912098,-0.10819120429308701,0.015479230724913291,2,third,5091,Forest View Elementary School,Everett School District,47.8563971325916,-122.156341086371
